Горячее водоснабжение,Тип перекрытий,Этаж,Год постройки,Количество балконов,Лифт,Количество этажей,Цена за квадрат,Количество собственников,Прописано,Кухня,Количество квартир,Материал стен,Ссылка,Несовершеннолетние собственники,Количество подъездов,Тип фундамента,Цена,Класс энергоэффективности,Тип сделки,Мусоропровод,Балкон,Ремонт,Комнат,Высота потолков,Лет в собственности,Газ,Количество лифтов,Район,Площадь,Перепланировка,Грузовой лифт,Детская площадка,Прописанные несовершеннолетние,Серия дома,Жилая,Санузел,Вид из окон
,,6,2024,,,17,93000₽/м²,,,"30,3 м2",,Кирпично-монолитный,https://domclick.ru/card/sale__flat__2058700761,,,,7413030₽,,Свободная продажа,,нет,,3,,,,1,дзержинский,"79,7 м2",,,,,,"45,6 м2",,во двор
Центральное,Железобетонный,14,2024,1,,17,116279₽/м²,,,3 м2,,Панельный,https://domclick.ru/card/sale__flat__2059307006,,,,2500000₽,,Свободная продажа,,,,,,,,1,дзержинский,"21,5 м2",,,,,,12 м2,,
,Железобетонный,4,1977,,есть,9,76458₽/м²,,,"11,9 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2058854768,,,,2699000₽,,Свободная продажа,,нет,,1,2.8,,,,дзержинский,"35,3 м2",,,,,v-кирпичный,"17,7 м2",,во двор
,,8,1985,1,есть,9,51804₽/м²,,,,264,Кирпичный,https://domclick.ru/card/sale__flat__1721123810,,,,689000₽,,,,,Косметический,1,,,,1,дзержинский,"13,3 м2",,,,,1-447,"13,3 м2",,
,Железобетонный,9,1981,1,есть,10,68503₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__1816706699,,,,4350000₽,,Свободная продажа,,,косметический,3,2.8,,есть,1,дзержинский,"63,5 м2",,,,,121,39 м2,,
,,3,1975,1,,9,85714₽/м²,2,,,,Кирпичный,https://domclick.ru/card/sale__flat__2059423619,нет,,,3600000₽,,Свободная продажа,,,Косметический,2,,Больше пяти,есть,1,дзержинский,42 м2,нет,нет,,нет,,30 м2,Раздельный,во двор
,Железобетонный,4,1979,1,есть,9,62691₽/м²,,,7 м2,,Панельный,https://domclick.ru/card/sale__flat__2055772818,,,,4100000₽,,,,,Отсутствует,3,,,есть,,дзержинский,"65,4 м2",,,,,121,,,
,,7,2014,,есть,12,123573₽/м²,,,"13,3 м2",261,Кирпичный,https://domclick.ru/card/sale__flat__2057373856,,,,4980000₽,,Свободная продажа,,нет,,1,,,нет,2,дзержинский,"40,3 м2",,есть,,,01-пз индивидуальный проект,"15,5 м2",,
,,8,2024,1,,17,98916₽/м²,,,,,Монолитный,https://domclick.ru/card/sale__flat__2059557421,нет,,,6390000₽,,Свободная продажа,,,Без ремонта,2,2.7,,нет,2,дзержинский,"64,6 м2",нет,нет,,нет,,55 м2,Раздельный,
,Железобетонный,5,1989,1,есть,9,89013₽/м²,1,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2059312650,,,,4780000₽,,Свободная продажа,,,Дизайнерский,2,2.7,Меньше трех,есть,1,дзержинский,"53,7 м2",,нет,,,97 (111-97),34 м2,Раздельный,"во двор, на парк, на водоем, на лес, на улицу"
,Железобетонный,1,1989,,есть,9,93421₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2058293656,,,,3550000₽,,Свободная продажа,,нет,,1,,,есть,1,дзержинский,38 м2,,нет,,,97 (111-97),,,
Центральное,Железобетонный,10,2020,2,,19,81683₽/м²,,,,204,Панельный,https://domclick.ru/card/sale__flat__2059489762,нет,,,3300000₽,,Свободная продажа,,,Без ремонта,1,2.7,,нет,2,дзержинский,"40,4 м2",нет,нет,,нет,,30 м2,Совмещенный,
,Железобетонный,3,1985,,есть,9,88379₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2059314882,,,,2890000₽,,Свободная продажа,есть,нет,,1,,,есть,,дзержинский,"32,7 м2",,нет,,,111-90 (90),,,
,Железобетонный,7,1995,1,есть,10,88000₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2058919074,,,Бетонные столбы,4400000₽,,Свободная продажа,,,косметический,2,,,есть,1,дзержинский,50 м2,,,,,,32 м2,,во двор
,Железобетонный,2,1977,1,,5,53448₽/м²,,,6 м2,,Кирпичный,https://domclick.ru/card/sale__flat__1878161605,нет,,Сборный,3100000₽,,Свободная продажа,,,Косметический,3,,,есть,,дзержинский,58 м2,нет,нет,,нет,а жилой дом,38 м2,Раздельный,
,,12,2026,1,,16,72500₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2057059991,,,,2794875₽,,Переуступка,,,Требует ремонта,1,2.7,,,1,дзержинский,"38,5 м2",,,,,,,,
,Железобетонный,5,1982,,есть,9,69044₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2059171463,нет,,,4550000₽,,Свободная продажа,,нет,Косметический,3,,,есть,1,дзержинский,"65,9 м2",нет,нет,,нет,121,36 м2,Раздельный,
,,9,2021,1,,17,98630₽/м²,1,,"10,3 м2",,Панельный,https://domclick.ru/card/sale__flat__2056080715,нет,,,3600000₽,,Свободная продажа,,,Евро,1,2.7,,нет,3,дзержинский,"36,5 м2",нет,есть,,нет,,"18,8 м2",Совмещенный,"во двор, на улицу"
Центральное,Железобетонный,17,2021,,,17,86428₽/м²,1,,20 м2,102,Панельный,https://domclick.ru/card/sale__flat__2056968058,нет,,,3630000₽,,Свободная продажа,,нет,,2,,От трех до пяти,нет,3,дзержинский,42 м2,нет,есть,,нет,,22 м2,Совмещенный,
Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,5,1973,1,,5,75531₽/м²,1,,6 м2,,Панельный,https://domclick.ru/card/sale__flat__2059528654,нет,,Ленточный,3550000₽,,Свободная продажа,,,Евро,3,,Больше пяти,есть,,дзержинский,47 м2,нет,нет,,нет,,33 м2,Совмещенный,
,Железобетонный,2,1979,,,5,66959₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2058695385,,,Бетонные столбы,2290000₽,,Свободная продажа,,нет,,1,,,есть,,дзержинский,"34,2 м2",,нет,,,1-480,25 м2,,
Центральное,Железобетонный,14,2024,,,17,72002₽/м²,,,"12,1 м2",,Панельный,https://domclick.ru/card/sale__flat__2058251983,,,,4325200₽,,,,нет,Требует ремонта,2,2.7,,,1,дзержинский,"60,1 м2",,,,,,48 м2,,во двор
,Железобетонный,2,1994,1,есть,9,85964₽/м²,1,1,7 м2,,Панельный,https://domclick.ru/card/sale__flat__2059200710,,,Ленточный,2450000₽,,Свободная продажа,,,Косметический,1,2.5,От трех до пяти,есть,1,дзержинский,"28,5 м2",,нет,,,,14 м2,Совмещенный,во двор
,Железобетонный,6,1975,2,есть,9,76666₽/м²,1,2,"7,4 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2059029820,нет,,,4600000₽,,Альтернатива,,,Косметический,3,,От трех до пяти,есть,1,дзержинский,60 м2,нет,нет,,нет,1-447,"37,4 м2",Совмещенный,"во двор, на улицу, на парк"
,Железобетонный,4,1998,2,есть,9,63708₽/м²,,,"7,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2059307003,,,Бетонные столбы,5600000₽,,Свободная продажа,,,,4,2.7,,есть,1,дзержинский,"87,9 м2",,,,,,"54,5 м2",,на улицу
,Железобетонный,6,1983,,есть,9,152439₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2058905331,,,,5000000₽,,Свободная продажа,,нет,,1,,,есть,1,дзержинский,"32,8 м2",,нет,,,121,"32,8 м2",,
,Железобетонный,6,1985,1,есть,9,80862₽/м²,1,,"9,3 м2",,Панельный,https://domclick.ru/card/sale__flat__2057808184,нет,,,3000000₽,,Свободная продажа,есть,,Косметический,1,2.7,От трех до пяти,есть,1,дзержинский,"37,1 м2",нет,нет,,нет,111-90 (90),"18,9 м2",Совмещенный,во двор
,,5,2022,1,,17,72204₽/м²,,,13 м2,,Панельный,https://domclick.ru/card/sale__flat__2059401395,нет,,,4332240₽,,Переуступка,,,Без ремонта,2,,Меньше трех,нет,,дзержинский,60 м2,нет,нет,,нет,,28 м2,Раздельный,"во двор, на улицу"
Центральное,Железобетонный,9,2023,1,,17,82708₽/м²,,,,102,Панельный,https://domclick.ru/card/sale__flat__2055960453,нет,,,1985000₽,,Переуступка,,,Без ремонта,,,Меньше трех,нет,3,дзержинский,24 м2,нет,есть,,нет,,13 м2,Совмещенный,"во двор, на парк"
Центральное,Железобетонный,10,2024,1,,17,107182₽/м²,1,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2058603819,нет,,,3880000₽,,Свободная продажа,,,Евро,1,2.7,Меньше трех,нет,,дзержинский,"36,2 м2",нет,нет,,нет,,14 м2,Совмещенный,во двор
,Железобетонный,5,1978,1,есть,9,69908₽/м²,1,,,,Панельный,https://domclick.ru/card/sale__flat__2058201626,нет,,,4600000₽,,Свободная продажа,есть,,Косметический,3,,Больше пяти,есть,1,дзержинский,"65,8 м2",нет,нет,,нет,121,55 м2,Раздельный,во двор
,,4,2023,,,17,105882₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2059488576,,,,3960000₽,,Свободная продажа,,нет,,1,,,нет,,дзержинский,"37,4 м2",,нет,,,,28 м2,,
,Железобетонный,4,1973,1,,5,84745₽/м²,,,6 м2,56,Кирпичный,https://domclick.ru/card/sale__flat__2056771863,,,,2500000₽,,Свободная продажа,,,евроремонт,1,,,есть,,дзержинский,"29,5 м2",,,,,87,17 м2,,
,,13,2015,1,есть,19,80322₽/м²,,,14 м2,720,Панельный,https://domclick.ru/card/sale__flat__2057599957,,,,4980000₽,,Свободная продажа,,,,2,2.8,,,1,дзержинский,62 м2,,,,,744.0.01 панельный,48 м2,,на улицу
,Железобетонный,3,1977,1,есть,9,85099₽/м²,,,7 м2,,Панельный,https://domclick.ru/card/sale__flat__2058080598,,,,2570000₽,,Альтернатива,,,,1,,,,1,дзержинский,"30,2 м2",,,,,121,19 м2,,
,,1,1987,1,,9,78787₽/м²,1,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2058995872,нет,,,2600000₽,,Свободная продажа,есть,,Косметический,1,,Меньше трех,есть,1,дзержинский,33 м2,нет,нет,,нет,,18 м2,Раздельный,во двор
,Железобетонный,4,1979,1,,5,87500₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2058962824,,,Ленточный,4550000₽,,Свободная продажа,,,Дизайнерский,2,2.7,,есть,,дзержинский,52 м2,,нет,,,111-90 (90),30 м2,Раздельный,"во двор, на улицу"
Центральное,Железобетонный,8,1978,1,,9,86363₽/м²,,,"7,5 м2",,Панельный,https://domclick.ru/card/sale__flat__2058320182,,,,2850000₽,,Свободная продажа,,,Косметический,1,2.5,,есть,1,дзержинский,33 м2,,нет,есть,,,17 м2,Раздельный,
Центральное,Железобетонный,9,1980,1,есть,9,78000₽/м²,,,"7,7 м2",,Панельный,https://domclick.ru/card/sale__flat__2058806395,,,,3900000₽,,Свободная продажа,,,,2,,,есть,,дзержинский,50 м2,,,,,,30 м2,,
,Железобетонный,7,1992,,есть,9,76363₽/м²,1,,6 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2057394355,,,,2520000₽,,Альтернатива,,нет,Косметический,2,,От трех до пяти,нет,1,дзержинский,33 м2,,нет,,,114-86,"18,6 м2",Совмещенный,на улицу
,Железобетонный,9,1977,1,есть,12,71618₽/м²,,,12 м2,,Смешанные,https://domclick.ru/card/sale__flat__2058332949,нет,,,2700000₽,,Свободная продажа,есть,,Косметический,1,,,есть,1,дзержинский,"37,7 м2",нет,нет,,нет,121. многоквартирный дом,"19,5 м2",Раздельный,на улицу
,Железобетонный,8,2016,1,есть,19,83783₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2058733297,,,,3100000₽,,Свободная продажа,,,,1,,,,,дзержинский,37 м2,,,,,1-панельный,18 м2,,
,Железобетонный,3,1973,1,,5,88815₽/м²,,,"6,1 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2057818037,,,Иной,2699999₽,,Свободная продажа,,,евроремонт,1,2.6,,нет,,дзержинский,"30,4 м2",,,,,87,,,на улицу
,Железобетонный,10,2003,2,есть,14,60000₽/м²,,,"16,2 м2",,Монолитный,https://domclick.ru/card/sale__flat__2058805791,нет,,,5700000₽,,Свободная продажа,,,Дизайнерский,3,,,есть,,дзержинский,95 м2,нет,нет,,нет,а монолитный,"61,6 м2",Раздельный,во двор
Центральное,Железобетонный,11,2023,1,,17,72804₽/м²,,,13 м2,132,Панельный,https://domclick.ru/card/sale__flat__2059492816,нет,,,4659480₽,,Переуступка,,,Без ремонта,2,,,нет,3,дзержинский,64 м2,нет,есть,,нет,,33 м2,Раздельный,"на улицу, на парк"
Центральное,Железобетонный,7,2022,,,17,108563₽/м²,,,"11,8 м2",423,Панельный,https://domclick.ru/card/sale__flat__2006022244,,,,3930000₽,,Свободная продажа,,нет,,1,,,нет,,дзержинский,"36,2 м2",,нет,,,,16 м2,,
Центральное,Железобетонный,9,2023,1,,17,129750₽/м²,1,1,15 м2,102,Панельный,https://domclick.ru/card/sale__flat__2059577932,,,,5190000₽,,Свободная продажа,,,Дизайнерский,2,2.7,Больше пяти,нет,3,дзержинский,40 м2,,есть,,,,20 м2,Совмещенный,"во двор, на улицу"
,Железобетонный,3,2016,1,есть,11,88757₽/м²,,,9 м2,117,Панельный,https://domclick.ru/card/sale__flat__2059312505,,,,3000000₽,,Альтернатива,,,Косметический,1,,,нет,1,дзержинский,"33,8 м2",,нет,,,,,Совмещенный,во двор
,,8,1983,,,9,52857₽/м²,,,6 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2058366061,нет,,,1850000₽,,Свободная продажа,,нет,Косметический,2,2.5,,нет,,дзержинский,35 м2,нет,нет,,нет,,26 м2,Раздельный,во двор
,,12,2009,Больше 3-х,есть,13,55834₽/м²,,,"13,2 м2",191,Кирпичный,https://domclick.ru/card/sale__flat__2059307000,,,,10000000₽,,Свободная продажа,,,,5,2.8,,,2,дзержинский,"179,1 м2",,есть,,,II-01,86 м2,,на улицу
,Железобетонный,14,2015,,есть,17,93750₽/м²,,,12 м2,,Монолитный,https://domclick.ru/card/sale__flat__2059545425,,,Сплошной,3750000₽,,Свободная продажа,,нет,,1,,,нет,,дзержинский,40 м2,,нет,,,,28 м2,,
,Железобетонный,3,2017,,есть,19,101108₽/м²,,,"11,6 м2",,Панельный,https://domclick.ru/card/sale__flat__2058897057,,,,3650000₽,,Свободная продажа,,нет,,1,,,,,дзержинский,"36,1 м2",,,,,1-панельный,"17,6 м2",,во двор
,Железобетонный,3,1977,,,5,63241₽/м²,,,7 м2,,Панельный,https://domclick.ru/card/sale__flat__2058252003,,,Ленточный,3200000₽,,Свободная продажа,,нет,косметический,2,,,есть,,дзержинский,"50,6 м2",,,,,111-90 (90),29 м2,,на улицу
,Железобетонный,9,1981,1,есть,9,84848₽/м²,,,10 м2,,Панельный,https://domclick.ru/card/sale__flat__2059334998,,,,5600000₽,,Свободная продажа,есть,,,3,,,есть,1,дзержинский,66 м2,,,,,111-90 (90),45 м2,,
,Железобетонный,6,1987,1,есть,9,79687₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2056535956,,,,5100000₽,,Альтернатива,,,,3,,,есть,1,дзержинский,64 м2,,нет,,,97 (111-97),45 м2,Совмещенный,
Центральное,Железобетонный,7,2023,1,,17,71052₽/м²,,,12 м2,102,Панельный,https://domclick.ru/card/sale__flat__2059117457,нет,,,5670000₽,,Свободная продажа,,,Без ремонта,3,2.7,,нет,,дзержинский,"79,8 м2",нет,нет,,нет,,65 м2,Раздельный,
,Железобетонный,6,2020,1,есть,19,119098₽/м²,1,,,373,Панельный,https://domclick.ru/card/sale__flat__2059094557,нет,,,4490000₽,,Свободная продажа,,,Косметический,1,2.7,Меньше трех,нет,1,дзержинский,"37,7 м2",нет,есть,,нет,,27 м2,Совмещенный,"во двор, на парк, на лес"
Центральное,Железобетонный,3,2022,1,,17,67543₽/м²,,,"9,8 м2",423,Панельный,https://domclick.ru/card/sale__flat__1807504322,,,,3850000₽,,Переуступка,,,Требует ремонта,2,2.7,,,1,дзержинский,57 м2,,,,,,"29,4 м2",,
,Железобетонный,4,1972,1,,5,62500₽/м²,3,,"5,5 м2",90,Панельный,https://domclick.ru/card/sale__flat__2059321178,нет,,,3000000₽,,Свободная продажа,,,Косметический,2,2.7,,есть,,дзержинский,48 м2,нет,нет,,нет,1-464А,32 м2,Раздельный,"во двор, на улицу"
,,3,1978,1,есть,10,84893₽/м²,,,9 м2,128,Кирпичный,https://domclick.ru/card/sale__flat__2057381292,,,,3990000₽,,Свободная продажа,,,Дизайнерский,2,,,есть,1,дзержинский,47 м2,,,,,1-447,,,на улицу
,Железобетонный,5,2017,1,есть,18,89416₽/м²,,,"6,3 м2",288,Кирпичный,https://domclick.ru/card/sale__flat__2008863381,,,,4900000₽,,,,,Евро,2,,,,,дзержинский,"54,8 м2",,,,,,"32,1 м2",,
,,5,1985,,есть,9,43750₽/м²,2,,5 м2,264,Кирпичный,https://domclick.ru/card/sale__flat__2057567839,нет,,,1750000₽,,Свободная продажа,,нет,Косметический,2,,Больше пяти,нет,1,дзержинский,40 м2,нет,нет,,нет,1-447,30 м2,Раздельный,во двор
Центральное,Железобетонный,13,2021,1,есть,18,130000₽/м²,,,3 м2,,Панельный,https://domclick.ru/card/sale__flat__2057060484,,,,2600000₽,,Свободная продажа,,,евроремонт,,2.7,,,1,дзержинский,20 м2,,,,,,13 м2,,на улицу
,,7,1984,1,есть,9,62686₽/м²,,,9 м2,430,Панельный,https://domclick.ru/card/sale__flat__2058960729,,,,4200000₽,,,,,Косметический,3,,,есть,1,дзержинский,67 м2,,,,,121,,,
,Железобетонный,11,2017,,есть,19,90909₽/м²,,,,,Панельный,https://domclick.ru/card/sale__flat__2059570709,,,,3600000₽,,Свободная продажа,,нет,,1,,,нет,1,дзержинский,"39,6 м2",,нет,,,1-панельный,,,
,,10,,,,15,101018₽/м²,1,,,,,https://domclick.ru/card/sale__flat__2056025122,нет,,,5408540₽,,Свободная продажа,,нет,,2,2.7,Меньше трех,,,дзержинский,"53,5 м2",нет,нет,,нет,,14 м2,,
,Железобетонный,4,1980,,есть,9,64285₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2059223439,,,,3600000₽,,Свободная продажа,есть,нет,косметический,2,,,есть,1,дзержинский,56 м2,,,,,111-90 (90),30 м2,,"во двор, на улицу"
Центральное,Железобетонный,11,2018,1,есть,17,70882₽/м²,,,13 м2,,Монолитный,https://domclick.ru/card/sale__flat__2059492187,нет,,,4323820₽,,Переуступка,,,Без ремонта,2,,,нет,1,дзержинский,61 м2,нет,есть,,нет,,31 м2,Раздельный,во двор
