Высота потолков,Тип сделки,Тип фундамента,Прописано,Количество квартир,Мусоропровод,Комнат,Ремонт,Количество этажей,Холодное водоснабжение,Санузел,Кухня,Газ,Вид из окон,Ссылка,Год постройки,Количество собственников,Грузовой лифт,Количество балконов,Количество лифтов,Серия дома,Жилая,Цена,Лифт,Цена за квадрат,Этаж,Горячее водоснабжение,Тип перекрытий,Площадь,Район,Лет в собственности,Балкон,Несовершеннолетние собственники,Материал стен,Прописанные несовершеннолетние,Перепланировка
,Свободная продажа,Ленточный,,,,4,Косметический,5,,Раздельный,9 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057159244,1973,1,нет,1,,,48 м2,3599999₽,,58064₽/м²,5,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,62 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,есть,3,,9,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2057714961,1989,,,,1,1-панельный,"42,6 м2",4400000₽,есть,65868₽/м²,9,,Железобетонный,"66,8 м2",промышленный,,нет,,Панельный,,
,Переуступка,,,509,,2,Без ремонта,17,,Совмещенный,"12,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__2056413790,2024,,есть,1,4,,31 м2,3835200₽,есть,68000₽/м²,15,,Железобетонный,"56,4 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,59,,2,Косметический,5,,Раздельный,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059080335,1978,,нет,1,,1-панельный,31 м2,2999999₽,,63157₽/м²,2,,Железобетонный,"47,5 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,,,3,Отсутствует,2,,,8 м2,,,https://domclick.ru/card/sale__flat__2056618425,,,,1,,,"49,7 м2",3134040₽,,46846₽/м²,2,,,"66,9 м2",промышленный,,,,Кирпичный,,
2.5,Свободная продажа,Ленточный,,,,2,косметический,5,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__1976033106,1976,,,1,,1-панельный,30 м2,2750000₽,,62076₽/м²,2,,Железобетонный,"44,3 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,720,,1,косметический,24,,,"12,4 м2",нет,на улицу,https://domclick.ru/card/sale__flat__1773974930,2024,,,1,1,,"13,6 м2",2550000₽,,72857₽/м²,2,,,35 м2,промышленный,,,,,,
2.7,Свободная продажа,,,214,,2,Косметический,19,,Совмещенный,"11,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__1769313534,2018,1,есть,1,3,,30 м2,4800000₽,есть,87272₽/м²,1,,Железобетонный,55 м2,промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,Ленточный,2,,,2,Евро,15,,Совмещенный,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2057016920,2018,2,нет,1,1,,30 м2,3699000₽,есть,81475₽/м²,2,,Железобетонный,"45,4 м2",промышленный,Больше пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,,,2,,9,,,"8,5 м2",есть,,https://domclick.ru/card/sale__flat__2059514038,1983,,есть,,2,111-90 (90),27 м2,3250000₽,есть,63106₽/м²,4,,Железобетонный,"51,5 м2",промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,,,,Дизайнерский,15,,Совмещенный,,нет,во двор,https://domclick.ru/card/sale__flat__2059077320,2018,1,нет,1,1,,11 м2,2300000₽,есть,95833₽/м²,10,,Железобетонный,24 м2,промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,219,,2,,19,,,13 м2,,,https://domclick.ru/card/sale__flat__2056537180,2022,,,1,,,,3550000₽,есть,65740₽/м²,15,,Железобетонный,54 м2,промышленный,,,,Панельный,,
,Свободная продажа,,,64,,3,Косметический,5,,Совмещенный,8 м2,есть,,https://domclick.ru/card/sale__flat__2057033989,1967,,нет,1,,v-кирпичный,46 м2,2849000₽,,50335₽/м²,4,,Железобетонный,"56,6 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,283,есть,1,Косметический,9,,Раздельный,8 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2056442934,1988,,нет,1,1,121,"17,2 м2",2650000₽,есть,80547₽/м²,1,,,"32,9 м2",промышленный,,,,Панельный,,
2.7,Свободная продажа,,,,,1,Без ремонта,24,,Совмещенный,"12,4 м2",нет,,https://domclick.ru/card/sale__flat__2059146548,2023,,есть,1,4,,"16,2 м2",2993000₽,,82000₽/м²,21,,Железобетонный,"36,5 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,509,,2,,17,,,"15,5 м2",нет,,https://domclick.ru/card/sale__flat__1703821408,2024,,нет,,1,,42 м2,4212280₽,есть,62000₽/м²,6,,Железобетонный,"67,9 м2",промышленный,,нет,нет,Панельный,нет,нет
2.7,Свободная продажа,,,,,2,евроремонт,12,,,13 м2,,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058251918,2012,,,,1,01-пз индивидуальный проект,40 м2,6499000₽,есть,108316₽/м²,11,,Железобетонный,60 м2,промышленный,,нет,,Кирпичный,,
,Переуступка,,,,,2,,24,,Совмещенный,"12,4 м2",нет,,https://domclick.ru/card/sale__flat__2058456929,2023,,есть,1,3,,"27,6 м2",3644800₽,,68000₽/м²,6,Центральное,Железобетонный,"53,6 м2",промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,509,,1,Без ремонта,17,,Совмещенный,"12,6 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703780191,2024,1,есть,1,3,,"14,5 м2",2952000₽,есть,72000₽/м²,8,,Железобетонный,41 м2,промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,,,3,Без ремонта,4,,Раздельный,21 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2056939656,2023,1,нет,1,,,80 м2,9088000₽,,83992₽/м²,4,,,"108,2 м2",промышленный,Меньше трех,,нет,Кирпичный,нет,нет
,Свободная продажа,,,312,,1,косметический,19,,,12 м2,нет,во двор,https://domclick.ru/card/sale__flat__2056848291,2015,,,1,1,"i, блочный",18 м2,3650000₽,есть,101388₽/м²,4,,,36 м2,промышленный,,,,Смешанные,,
,Свободная продажа,,1,,,1,Косметический,6,,Раздельный,2 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059488956,1975,1,нет,,,,28 м2,1600000₽,,53333₽/м²,5,Центральное,Железобетонный,30 м2,промышленный,Меньше трех,нет,нет,Монолитный,нет,нет
,Свободная продажа,Ленточный,,,,2,Косметический,5,,Совмещенный,7 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2057681182,1963,3,нет,1,,v-кирпичный,28 м2,2236000₽,,49910₽/м²,5,,Железобетонный,"44,8 м2",промышленный,Больше пяти,,есть,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,3,Требует ремонта,3,,,9 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058365709,1959,,,,,v-кирпичный,51 м2,5150000₽,,70163₽/м²,1,,Железобетонный,"73,4 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,,,1,Евро,5,,Раздельный,6 м2,есть,,https://domclick.ru/card/sale__flat__2059528494,1967,1,нет,1,,,18 м2,2030000₽,,65483₽/м²,5,Центральное,Железобетонный,31 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,Сплошной,,,,2,Дизайнерский,12,,,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2057162511,2015,,,1,1,,36 м2,5650000₽,есть,99122₽/м²,8,,Железобетонный,57 м2,промышленный,,,,Кирпичный,,
,Свободная продажа,,,360,,1,Евро,17,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2059577773,2014,1,есть,1,3,067-00-00,20 м2,3890000₽,есть,109577₽/м²,17,,,"35,5 м2",промышленный,,,,Кирпичный,,
2.8,Свободная продажа,,1,136,есть,1,Дизайнерский,10,,Совмещенный,"12,5 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059400694,2006,1,нет,1,1,01-пз индивидуальный проект,"19,2 м2",4400000₽,есть,97130₽/м²,2,,,"45,3 м2",промышленный,Больше пяти,,,Кирпичный,,
,Свободная продажа,,,,,,Косметический,18,,Совмещенный,5 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059113151,2023,1,нет,,,,14 м2,2150000₽,,79629₽/м²,3,,Железобетонный,27 м2,промышленный,Меньше трех,нет,нет,Панельный,нет,нет
,Свободная продажа,,,,,3,Требует ремонта,4,,,"16,3 м2",,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058456509,2024,,,,,,43 м2,5090000₽,,66797₽/м²,4,,,"76,2 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,,,1,Требует ремонта,9,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058285144,1996,,,,1,v-кирпичный,20 м2,2900000₽,есть,71960₽/м²,2,,Железобетонный,"40,3 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,,,3,Без ремонта,24,,Более одного,"14,8 м2",нет,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059143966,2023,,есть,1,4,,"47,1 м2",4895400₽,,61500₽/м²,14,,Железобетонный,"79,6 м2",промышленный,,,нет,Панельный,нет,нет
3,Свободная продажа,,,,,1,,1,,,12 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058255785,1902,,,,,,"14,8 м2",1250000₽,,40453₽/м²,1,Газовая колонка,Железобетонный,"30,9 м2",промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,,,356,,1,Дизайнерский,17,,Совмещенный,6 м2,нет,"во двор, на парк",https://domclick.ru/card/sale__flat__2058792773,2019,1,есть,1,3,,22 м2,4099999₽,,123493₽/м²,13,Центральное,Железобетонный,"33,2 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,115,,2,косметический,5,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059280675,1976,,,,,1-панельный,30 м2,2650000₽,,60227₽/м²,4,,Железобетонный,44 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,,,2,,5,,,6 м2,есть,,https://domclick.ru/card/sale__flat__1903828832,1963,,,1,,1-панельный,30 м2,2349999₽,,57038₽/м²,4,,Железобетонный,"41,2 м2",промышленный,,,,Панельный,,
2.5,Свободная продажа,Бетонные столбы,,141,,1,Косметический,5,,Совмещенный,6 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058994340,1992,,нет,1,,,18 м2,2300000₽,,74193₽/м²,3,,Железобетонный,31 м2,промышленный,,,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,,,,Требует ремонта,24,,,5 м2,,во двор,https://domclick.ru/card/sale__flat__2056573172,2024,,,1,1,,"9,5 м2",1710000₽,,69230₽/м²,14,Центральное,Железобетонный,"24,7 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,108,,1,Евро,9,,Совмещенный,"9,2 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2059371213,1983,1,нет,1,1,121,"19,2 м2",3800000₽,есть,101604₽/м²,7,,,"37,4 м2",промышленный,От трех до пяти,,нет,Панельный,нет,нет
,Свободная продажа,,,,,1,Без ремонта,2,,Совмещенный,2 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059407654,1936,1,нет,,,,"8,2 м2",500000₽,,46296₽/м²,1,Центральное,Деревянный,"10,8 м2",промышленный,Меньше трех,нет,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,2,,6,,,7 м2,есть,,https://domclick.ru/card/sale__flat__2058777342,1984,,,1,,1-панельный,"30,3 м2",2300000₽,,52036₽/м²,3,,Железобетонный,"44,2 м2",промышленный,,,,Панельный,,
,Свободная продажа,Свайный,,,,1,Косметический,5,,Совмещенный,10 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2058668216,1993,,нет,1,,II-14,22 м2,2500000₽,,78125₽/м²,4,,Железобетонный,32 м2,промышленный,,,,Кирпичный,,
3.8,Свободная продажа,Ленточный,,39,,2,Требует ремонта,4,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058937793,1938,,,,,,,3390000₽,,61636₽/м²,1,,Железобетонный,55 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,Ленточный,,,,2,Косметический,5,,Раздельный,"6,8 м2",есть,во двор,https://domclick.ru/card/sale__flat__2056626548,1971,1,нет,1,,1-панельный,34 м2,3199000₽,,72870₽/м²,5,,Железобетонный,"43,9 м2",промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,Ленточный,,,,2,Евро,5,,Раздельный,7 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058745044,1987,1,нет,1,,v-кирпичный,30 м2,3070000₽,,57169₽/м²,5,,Железобетонный,"53,7 м2",промышленный,Меньше трех,,,Кирпичный,,
,Свободная продажа,Ленточный,,,,1,Косметический,4,,Совмещенный,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059048571,1962,,нет,1,,v-кирпичный,20 м2,1850000₽,,60457₽/м²,4,,Железобетонный,"30,6 м2",промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,299,,1,,20,,,,нет,,https://domclick.ru/card/sale__flat__1973379930,2019,,нет,,,,,4000000₽,есть,121212₽/м²,12,,Железобетонный,33 м2,промышленный,,нет,,Монолитный,,
,Свободная продажа,Ленточный,,,,2,Косметический,5,,Раздельный,8 м2,есть,во двор,https://domclick.ru/card/sale__flat__2056899470,1979,2,нет,1,,111-90 (90),33 м2,3300000₽,,62264₽/м²,2,,Железобетонный,53 м2,промышленный,Меньше трех,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,2,,4,Центральное,,6 м2,есть,,https://domclick.ru/card/sale__flat__1943248635,1961,,,1,,,32 м2,2550000₽,,54721₽/м²,3,,Железобетонный,"46,6 м2",промышленный,,,,Кирпичный,,
2.7,Свободная продажа,,,509,,1,Без ремонта,17,,Совмещенный,10 м2,нет,во двор,https://domclick.ru/card/sale__flat__2059027962,2024,1,нет,1,2,,19 м2,3100000₽,есть,82666₽/м²,13,,Железобетонный,"37,5 м2",промышленный,Меньше трех,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,2,Косметический,5,,Раздельный,6 м2,есть,во двор,https://domclick.ru/card/sale__flat__1953330128,1967,1,нет,1,,v-кирпичный,29 м2,2350000₽,,55952₽/м²,4,,Железобетонный,42 м2,промышленный,Больше пяти,,,Кирпичный,,
,,Ленточный,,39,,3,Косметический,4,,,"6,9 м2",есть,,https://domclick.ru/card/sale__flat__1921012810,1938,,,,,,36 м2,3300000₽,,52715₽/м²,2,,Железобетонный,"62,6 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,Ленточный,,,,2,Косметический,6,,Раздельный,8 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059107973,1984,3,нет,1,,v-кирпичный,35 м2,3650000₽,,68867₽/м²,1,,Железобетонный,53 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,,Требует ремонта,23,,,5 м2,нет,на улицу,https://domclick.ru/card/sale__flat__2059171707,2024,,,1,1,,"9,6 м2",2100000₽,,91304₽/м²,12,,Железобетонный,23 м2,промышленный,,,,Панельный,,
,Свободная продажа,Ленточный,,,,2,,5,,,"5,5 м2",есть,,https://domclick.ru/card/sale__flat__1845190063,1969,,,1,,1-464,23 м2,2650000₽,,71621₽/м²,5,,Железобетонный,37 м2,промышленный,,,,Панельный,,
,Переуступка,,,,,3,,23,,,12 м2,,,https://domclick.ru/card/sale__flat__2057338398,2024,,,,,,46 м2,4530000₽,,56625₽/м²,8,,Железобетонный,80 м2,промышленный,,нет,,Панельный,,
3.1,Свободная продажа,Ленточный,,,,2,косметический,3,,,"8,1 м2",есть,,https://domclick.ru/card/sale__flat__1950113421,1958,,,1,,v-кирпичный,"28,8 м2",2800000₽,,53231₽/м²,2,,Железобетонный,"52,6 м2",промышленный,,,,Кирпичный,,
2.7,Альтернатива,,,,есть,3,Евро,9,,Раздельный,12 м2,есть,,https://domclick.ru/card/sale__flat__2059377865,2007,,нет,1,1,,"51,4 м2",6990000₽,,83612₽/м²,1,,,"83,6 м2",промышленный,Больше пяти,,,Кирпичный,,
,Свободная продажа,,,,есть,2,Косметический,10,,Раздельный,8 м2,есть,во двор,https://domclick.ru/card/sale__flat__2057639342,1988,,нет,1,,121,38 м2,3570000₽,есть,66979₽/м²,8,,Железобетонный,"53,3 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,3,Косметический,5,,Раздельный,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059226149,1971,,нет,,,v-кирпичный,38 м2,2600000₽,,47272₽/м²,2,,Железобетонный,55 м2,промышленный,Больше пяти,нет,нет,Кирпичный,нет,нет
2.7,Свободная продажа,,,509,,1,Без ремонта,17,,Совмещенный,"12,4 м2",нет,,https://domclick.ru/card/sale__flat__1703785854,2024,1,есть,1,3,,18 м2,2966400₽,есть,72000₽/м²,15,,Железобетонный,"41,2 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,64,,1,,5,,,5 м2,есть,,https://domclick.ru/card/sale__flat__2056440168,1964,,,,,,18 м2,2300000₽,,74193₽/м²,4,,Железобетонный,31 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,Ленточный,,,,1,Требует ремонта,2,,,6 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059434936,1958,,,,,v-кирпичный,23 м2,1950000₽,,57863₽/м²,2,,Деревянный,"33,7 м2",промышленный,,нет,,Кирпичный,,
2.8,Свободная продажа,Ленточный,,,,1,,5,,,"15,5 м2",есть,на улицу,https://domclick.ru/card/sale__flat__2058225391,1976,,,1,,1-панельный,7 м2,2600000₽,,89655₽/м²,4,,Железобетонный,29 м2,промышленный,,,,Панельный,,
,Свободная продажа,,,,есть,3,,9,,,13 м2,есть,,https://domclick.ru/card/sale__flat__2056537085,1989,,,,,1-панельный,,4900000₽,есть,73134₽/м²,1,,Железобетонный,67 м2,промышленный,,нет,,Панельный,,
,Свободная продажа,,,,,2,Без ремонта,4,,Совмещенный,10 м2,есть,,https://domclick.ru/card/sale__flat__2058461592,,,нет,1,,,27 м2,3470000₽,,72291₽/м²,3,,,48 м2,промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,Сборный,,,,2,Без ремонта,5,Центральное,Совмещенный,"7,6 м2",есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2059208808,1982,1,нет,1,,,"15,4 м2",2999999₽,,61855₽/м²,4,,Железобетонный,"48,5 м2",промышленный,От трех до пяти,,нет,Кирпичный,нет,нет
3.5,Свободная продажа,Ленточный,,,,3,Дизайнерский,4,Центральное,,12 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2058251914,1956,,,,,,52 м2,4799000₽,,63144₽/м²,3,,Железобетонный,76 м2,промышленный,,нет,,Кирпичный,,
2.5,Свободная продажа,Ленточный,,,,2,Косметический,4,,Совмещенный,8 м2,есть,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057645107,1972,1,нет,,,v-кирпичный,"23,5 м2",2550000₽,,64231₽/м²,1,,Железобетонный,"39,7 м2",промышленный,От трех до пяти,нет,нет,Кирпичный,нет,нет
,Свободная продажа,Ленточный,,,,3,Евро,5,,Раздельный,,есть,"во двор, на парк, на улицу",https://domclick.ru/card/sale__flat__2058976489,1994,,нет,1,,,,3250000₽,,54166₽/м²,1,Закрытая с приготовлением горячей воды на ИТП,Железобетонный,60 м2,промышленный,,,,Кирпичный,,
2.7,Переуступка,,,509,,1,Без ремонта,17,,Совмещенный,"13,7 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703790547,2024,1,есть,1,3,,"15,8 м2",3295600₽,есть,77000₽/м²,17,,Железобетонный,"42,8 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,,,,,3,Дизайнерский,18,,Более одного,12 м2,нет,"во двор, на лес",https://domclick.ru/card/sale__flat__2059225100,2017,,есть,1,3,,"54,5 м2",10300000₽,есть,115470₽/м²,3,Центральное,Монолитный,"89,2 м2",промышленный,,,,Железобетон,,
,Переуступка,,,,,3,Требует ремонта,15,,,15 м2,,"во двор, на улицу",https://domclick.ru/card/sale__flat__2057285729,,,,,1,,"50,8 м2",7289575₽,,107500₽/м²,4,,,"67,8 м2",промышленный,,нет,,,,
2.5,Свободная продажа,,,,,,Без ремонта,23,,Совмещенный,,нет,во двор,https://domclick.ru/card/sale__flat__2059109807,2024,1,нет,1,2,,15 м2,1900000₽,,76612₽/м²,6,,Железобетонный,"24,8 м2",промышленный,Меньше трех,,нет,Панельный,нет,нет
,Свободная продажа,Ленточный,,,,2,,5,,,5 м2,есть,,https://domclick.ru/card/sale__flat__1980577207,1969,,,1,,1-464,28 м2,2760000₽,,73209₽/м²,2,,Железобетонный,"37,7 м2",промышленный,,,,Панельный,,
,Свободная продажа,,,,,2,,11,,,,,,https://domclick.ru/card/sale__flat__1962394650,,,нет,,,,53 м2,5650000₽,,105805₽/м²,9,,,"53,4 м2",промышленный,,нет,нет,,нет,нет
,Свободная продажа,Ленточный,,,,2,,5,,,,есть,,https://domclick.ru/card/sale__flat__2059123350,1968,,нет,,,,,3375000₽,,79039₽/м²,5,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,"42,7 м2",промышленный,,нет,,Кирпичный,,
,Свободная продажа,Бетонные столбы,,141,,2,Евро,5,,Совмещенный,10 м2,есть,"на улицу, во двор",https://domclick.ru/card/sale__flat__2057775866,1992,,нет,1,,,32 м2,3230000₽,,63333₽/м²,5,,Железобетонный,51 м2,промышленный,,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,1,Косметический,9,,Совмещенный,4 м2,есть,,https://domclick.ru/card/sale__flat__2056153554,1984,,нет,1,1,v-кирпичный,15 м2,1620000₽,есть,77142₽/м²,2,,Железобетонный,21 м2,промышленный,,,,Кирпичный,,
,Свободная продажа,Ленточный,,,,2,косметический,5,,,7 м2,есть,во двор,https://domclick.ru/card/sale__flat__2059249731,1964,,,,,1-панельный,27 м2,3200000₽,,77669₽/м²,5,,Железобетонный,"41,2 м2",промышленный,,нет,,Панельный,,
2.7,Свободная продажа,Иной,,,,3,Евро,9,,Раздельный,"9,2 м2",есть,во двор,https://domclick.ru/card/sale__flat__2059585914,1997,1,нет,2,1,,38 м2,5800000₽,есть,82857₽/м²,2,,Железобетонный,70 м2,промышленный,Больше пяти,,нет,Кирпичный,нет,нет
,Свободная продажа,,,,,2,,2,,,9 м2,есть,на улицу,https://domclick.ru/card/sale__flat__2056240907,2023,,,,,,43 м2,4500000₽,,65217₽/м²,2,Поквартирный котел,Железобетонный,69 м2,промышленный,,нет,,Кирпичный,,
2.7,Свободная продажа,Ленточный,,,,3,Требует ремонта,1,Центральное,,"9,1 м2",,во двор,https://domclick.ru/card/sale__flat__2059434938,1967,,,,,,"53,8 м2",5500000₽,,69620₽/м²,4,,Железобетонный,79 м2,промышленный,,нет,,Блочный,,
,Свободная продажа,Иной,,,,3,,5,,,8 м2,есть,,https://domclick.ru/card/sale__flat__2056701850,1965,,,1,,1-447,39 м2,2999999₽,,53956₽/м²,3,,Железобетонный,"55,6 м2",промышленный,,,,Кирпичный,,
2.7,Переуступка,,,509,,3,Без ремонта,17,,Более одного,"10,7 м2",нет,"во двор, на улицу",https://domclick.ru/card/sale__flat__1703790716,2024,1,есть,1,3,,52 м2,4956000₽,есть,60000₽/м²,21,,Железобетонный,"82,6 м2",промышленный,,,нет,Панельный,нет,нет
2.7,Свободная продажа,,,250,,2,,16,,,10 м2,,,https://domclick.ru/card/sale__flat__2059307013,2022,,,,1,,43 м2,3650000₽,,67095₽/м²,15,,Железобетонный,"54,4 м2",промышленный,,нет,,Панельный,,
,Свободная продажа,Ленточный,,,,2,Евро,5,,,"9,1 м2",есть,во двор,https://domclick.ru/card/sale__flat__2058349840,1971,,,1,,1-панельный,30 м2,3250000₽,,73529₽/м²,5,,Железобетонный,"44,2 м2",промышленный,,,,Панельный,,
2.8,Свободная продажа,,,509,,2,Без ремонта,17,,Раздельный,"13,4 м2",нет,во двор,https://domclick.ru/card/sale__flat__1703786109,2024,1,есть,1,3,,29 м2,3839550₽,есть,65000₽/м²,14,,Железобетонный,"59,1 м2",промышленный,,,нет,Панельный,нет,нет
,Свободная продажа,Иной,,,,,Косметический,5,,Совмещенный,,нет,на улицу,https://domclick.ru/card/sale__flat__2059244099,1982,,нет,,,,17 м2,1100000₽,,55000₽/м²,4,Закрытая с приготовлением горячей воды на ЦТП,Железобетонный,20 м2,промышленный,,нет,,Кирпичный,,
,Свободная продажа,,,115,,1,Требует ремонта,5,,,10 м2,есть,во двор,https://domclick.ru/card/sale__flat__2058700763,1976,,,,,1-панельный,"20,6 м2",2720000₽,,72533₽/м²,4,,Железобетонный,"37,5 м2",промышленный,,нет,,Панельный,,
2.7,Альтернатива,,,,,3,Дизайнерский,12,,,"24,5 м2",,,https://domclick.ru/card/sale__flat__2058361150,2012,,,1,1,01-пз индивидуальный проект,"60,5 м2",8100000₽,есть,72776₽/м²,12,,Железобетонный,"111,3 м2",промышленный,,,,Кирпичный,,
